Time[s], Channel 7, Channel 9
0.000000000000000, 0, 0
0.006132000000000, 1, 0
0.006144000000000, 0, 0
0.282144000000000, 0, 1
0.282632000000000, 0, 0
0.336472000000000, 1, 0
0.336482000000000, 0, 0
0.584358000000000, 0, 1
0.584766000000000, 0, 0
0.666810000000000, 1, 0
0.666820000000000, 0, 0
0.886590000000000, 0, 1
0.886996000000000, 0, 0
0.997148000000000, 1, 0
0.997160000000000, 0, 0
1.188820000000000, 0, 1
1.189226000000000, 0, 0
1.217374000000000, 1, 0
1.217384000000000, 0, 0
1.491516000000000, 0, 1
1.492002000000000, 0, 0
1.547712000000000, 1, 0
1.547722000000000, 0, 0
1.793708000000000, 0, 1
1.794114000000000, 0, 0
1.878050000000000, 1, 0
1.878062000000000, 0, 0
2.095938000000000, 0, 1
2.096344000000000, 0, 0
2.398168000000000, 0, 1
2.398576000000000, 0, 0
2.538710000000000, 1, 0
2.538722000000000, 0, 0
2.648824000000000, 1, 0
2.648834000000000, 0, 0
2.700398000000000, 0, 1
2.700804000000000, 0, 0
2.758952000000000, 1, 0
2.758964000000000, 0, 0
3.002628000000000, 0, 1
3.003034000000000, 0, 0
3.089290000000000, 1, 0
3.089302000000000, 0, 0
3.304858000000000, 0, 1
3.305266000000000, 0, 0
3.419628000000000, 1, 0
3.419640000000000, 0, 0
3.607088000000000, 0, 1
3.607496000000000, 0, 0
3.639854000000000, 1, 0
3.639866000000000, 0, 0
3.909318000000000, 0, 1
3.909726000000000, 0, 0
3.970192000000000, 1, 0
3.970204000000000, 0, 0
4.211548000000000, 0, 1
4.211956000000000, 0, 0
4.300530000000000, 1, 0
4.300542000000000, 0, 0
4.513777999999999, 0, 1
4.514402000000000, 0, 0
4.630868000000000, 1, 0
4.630879999999999, 0, 0
4.816021999999999, 0, 1
4.816430000000000, 0, 0
4.851094000000000, 1, 0
4.851106000000000, 0, 0
5.118240000000000, 0, 1
5.118646000000000, 0, 0
5.181432000000000, 1, 0
5.181444000000000, 0, 0
5.420470000000000, 0, 1
5.420876000000000, 0, 0
5.511769999999999, 1, 0
5.511782000000000, 0, 0
5.722700000000000, 0, 1
5.723108000000000, 0, 0
5.731996000000000, 1, 0
5.732008000000000, 0, 0
6.024929999999999, 0, 1
6.025335999999999, 0, 0
6.062304000000000, 1, 0
6.062316000000000, 0, 0
6.327173999999999, 0, 1
6.327579999999999, 0, 0
